id,company,street,housenum,postalcode,city,country,notes,name,surname,surname_prefix,email,telephone,label,is_parent_of,is_child_of,roomType
2704,Residence Inn London Bridge by Marriott,Long Lane,201-211,SE 1 4PN,London,GB,"

	

Dit hotel niet meer boeken. Klacht van Frans de Beaufort via Liane. Slecht hotel voor te veel geld!!&nbsp;

",NIET BOEKEN,NIET BOEKEN,NIET BOEKEN,reservations@residenceinnlondonbridge.com,442031467981,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW, Comfort Room"
2709,Hampton by Hilton Edinburgh Airport,Almond Avenue,5,EH12 9GN ,Edinburgh,GB,,,,,"edihx_reservations@hilton.com, kristaps.lukis@hilton.com",00441313709999,hotel,,,"3 course dinner, City tax, Queen guest Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2710,Hotel Vincci Via 66 ,,C/Gran Vía,66,Madrid,ES,,,,,reservas.via66@vinccihoteles.com,0034915504299,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Double standard Room, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2723,UNAHOTELS Decò Roma,Via Giovanni Amendola,57,00185 ,Roma,IT,,,,,hotel.decoroma@unahotels.it,003906649371,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Superior Double Room, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2726,Boutique Hotel Helmhaus,Schifflände ,30,CH – 8001 ,Zurich,CH,,,,,info@helmhaus.ch,0041442669595,hotel,,,"3 course dinner, City tax, Boutique Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2728,SIDE Member of Design Hotels,Drehbahn,49,20354,Hamburg,DE,,,,,reservation@side-hamburg.de,004940309990,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Deluxe Double Room, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2731,Van der Valk Hotel Gilze-Tilburg,Klein Zwitserland,8,5126 TA,Gilze,NL,,,,,receptie@hotelgilzetilburg.nl,00310161454951,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Standard Room, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2746,"Hotel Landgasthof ""DIE LINDE""",Kirchplatz,16,6973,Höchst,DE,Rezeption,Lisi,Fuchs,,office@die-linde.at,0043557875378,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Double Room with balcony incl. breakfast, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2747,Hotel Barcelona Princess,Avda Diagonal ,1,08019,Barcelona,ES,,,,,reservas2.bcn@princess-hotels.com,0034931174050,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Double Room single use, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2752,Postillion Hotel & Convention Centre Amsterdam,Paul van Vlissingenstraat,9 - 11,1096BK,Amsterdam,NL,,,,,fo1.amsterdam@postillionhotels.com,0031208204410,hotel,,1061,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Standard Double Room, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2757,ATLANTIC Grand Hotel Bremen,Bredenstrasse,2,28195,Bremen,DE,,,,,astapelfeldt@atlantic-hotels.de,004942162062547,hotel,2758,,"3 course dinner, City tax, Comfort Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2763,Hilton Garden Inn London Heathrow Terminals 2 and 3,Heathrow T2 ,,TW6 1AH ,,NL,,,,,reservations1@hgiheathrowterminal2.com,00442039729700,hotel,,,"3 course dinner, City tax, King Room High FL/View, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2765,Sofitel Paris Arc de Triomphe,Rue Beaujon,14,75008,Paris,FR,,,,,h1296-re1@sofitel.com,0033153895060,hotel,2766,291,"3 course dinner, City tax, Luxury Double Room, including breakfast, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2770,NEO KVL Hotel by TASIGO,Almystraat,14B,5061 PA,Oisterwijk,NL,,,,,info@neokvl.com,0132088099,hotel,,,"3 course dinner, City tax, Comfort Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2774,Les Fleurs Boutique hotel,Vitosha blvd,21,,Sofia,,,,,,reservation@lesfleurshotel.com,0035928100800,hotel,,,"3 course dinner, City tax, Standard Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2786,The Clan Hotel Singapore,Cross St,10,048417,Singapore,NL,"

	

Aegon TBL contract NON Comm

	
		
			Room Type:
			Deluxe Room
		
		
			Room Rate:
			SGD 270 per room per night
			Rate is&nbsp;subject to prevailing taxes 
		
		
			Inclusions:
			Complimentary Wi-Fi Access
		
		
			Breakfast:
			Including breakfast
		
		
			Reservation Status:
			Company guaranteed
		
		
			Cancellation Policy:
			Cancel by 2359hrs 2 days prior to arrival
		
		
			Billing Instructions:
			Guest pays own account
		
		
			Check In / Check Out:
			15:00 / 12:00 
		
	



",,,,reseasy@fareast.com.sg,006562286388,hotel,,,"3 course dinner, City tax, Deluxe Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2789,Club Quarters Hotel Covent Garden Holborn,Lincoln's Inn Fields,61,WC2A 3JW,London,GB,,,,,memberservices@clubquarters.com,00442074046640,hotel,,,"3 course dinner, City tax, Standard Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2792,Indigo den Haag,,,,,NL,Front of House Manager,Paul,Broeders,,operations@indigothehague.nl,31702099000,hotel,,"675, 675",
2793,,,,,,NL,Events Indigo ,Justin,Tran,,events@indigothehague.nl,0031702099000,hotel,,675,
2794,Hotel Mercure Luxembourg Kikuoka Golf & Spa ,Scheierhaff ,100,5412 ,CANACH,LU,,,,,h2898@accor.com,00352263541,hotel,,,"3 course dinner, City tax, Classic Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2795,Hotel Am Konzerthaus Vienna MGallery,Am Heumarkt,35 - 37,1030,Wenen,NL,,,,,h1276@accor.com,00431716160,hotel,,291,"3 course dinner, City tax, Classic Queen Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2797,Hyatt Regency Zurich Airport The Circle,The Circle,41,8058,Zurich,CH,,,,,,0041445921234,hotel,,,"3 course dinner, City tax, King bed Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2798,Park lane New York,Central Park South ,36,10019,New York,US,,,,,parklanenewyork@reservations-client.com,0012123714000,hotel,,,"3 course dinner, Park View Studio SUITE, DDR 8hrs, Executive Double Studio, City View King Room, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
2802,Hotel Nuevo Madrid,C/Bausa ,27,"28033, ",Madrid,ES,,,,,info@hotelnuevomadrid.com,3491298260200,hotel,,,"3 course dinner, City tax, Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2808,Hotel Sans Souci Wien,Burggasse,2,1070,Vienna,AT,,,,,hotel@sanssouci-wien.com,004315222520,hotel,,,"3 course dinner, City tax, Comfort Double Room, DDR 4hrs, DDR 8hrs, Superior Double Room, Including Breakfast, Meeting room rental, Overnamekosten factuur  5%+BTW"
2809,Berns Hotel ,Näckströmsgatan,8,11147,Stockholm,,,,,,reservations@berns.se,00460856632200,hotel,,,"3 course dinner, City tax, Cosy Essential Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2818,The Hotel. Brussels,Boulevard de Waterloo,38,1000,Brussels,BE,,,,,info@thehotel.be,003225041111,hotel,,,"3 course dinner, City tax, Superior Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2820,B&E Catering en Events,Witbolstraat,5,1032 LC ,Amsterdam,NL,,Luc,Eijkelestam,,luc@becatering.nl,"00310642239558, 00310206946371",hotel,,,
2827,BartmanzBoot,Vreelandseweg,12-WS,3632 EP ,Loenen aan de Vecht,NL,"

	

10% commissie op alles behalve de lunch of diner van de cateraar

",Bart,Huisinga,,informatie@bartmanzboot.nl,0622958216,hotel,,,
2828,Kasteel De Vanenburg,Vanenburgerallee,13,3882 RH,Putten,NL,,,,,info@vanenburg.nl,0341375454,hotel,,,"3 course dinner, City tax, Compact Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2833,Hilton Garden Inn Denver Downtown,Welton Street ,1400,CO 80202 ,Denver,US,,,,,,0013036038000,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, King Room, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
2835,Kimpton Charlotte Square,Charlotte Square,38,EH2 4HQ ,Edinburgh,NL,,,,,reservations@kimptoncharlottesquare.com,00441312405500,hotel,,,"3 course dinner, City tax, Double bed Premium Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2836,LUGANODANTE - We Like You,Piazza Cioccaro,5,6900,Lugano,CH,Reservations,Simona,Della Marianna,,info@luganodante.com,0041912280362,hotel,,,"3 course dinner, City tax, Standard Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2837,Hotel Residence Henri IV ,Rue des Bernardins,50,75005,Paris,FR,,,,,reservation@residencehenri4.com,00330144413181,hotel,,,"3 course dinner, Elegance Room, excluding breakfast, Elegance Room, inlcuding breakfast, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2844,Leonardo Hotel Groningen ,Laan van de Vrijheid ,91,9728 GA ,Groningen,NL,,,,,reception.groningen@leonardo-hotels.nl,31507630070,hotel,,,"3 course dinner, City tax, Comfort Twin Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2851,Novotel London Canary Wharf,Marsh Wall ,40,E14 9TP ,London,GB,,,,,h9057@accor.com,004402035300500,hotel,,291,"3 course dinner, City tax, Superior Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2859,Ruby Emma Hotel Amsterdam,Amstelvlietstraat,4,1096 GG,Amsterdam,NL,,,,,emma@ruby-hotels.com,0031202457280,hotel,,3136,"3 course dinner, City tax, Mate 2 bed Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2861,Fletcher Hotel-Restaurant Het Veluwse Bos,Arnhemseweg,520-524,7361 CN,Beekbergen,NL,,,,,info@hotelhetveluwsebos.nl,00555061393,hotel,,,"3 course dinner, City tax, Comfort Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2868,SIXT,Kruisweg,791,2132NG,Hoofddorp,NL,"

	

AUTO VERHUUR

Dear Travel Agency Partner,
&nbsp;
The time has come!&nbsp;

We&rsquo;re thrilled to kick start 2023 with the launch of our new booking portal, which is 100% tailored and dedicated to you, our valued partner.
The launch of our new booking platform, The Partner Hub - will take place on 1/2/23.

As a reminder, here are your new login details that have been allocated to your SIXT Agency Number&nbsp;5139389:

Going forward, you will no longer require your previous login credentials. To access the Partner Hub, your login information is as follows:

https://partner.sixt.com
Login email address:&nbsp;info@corporatemeetingpartner.com
Password:&nbsp;Travel2022

In order to ensure a smooth transition period, and to give you enough time to familiarize yourself with the new platform &ndash; The current site (sixtagent.com) will remain active until further notice. We will keep you updated when it will be closed.

To support you further with this exciting transition, we have linked below a user guide which includes everything you&rsquo;ll need to know to get started: USER GUIDE

&nbsp;

",,,,partnerhub-travel@sixt.com,00498928852551,hotel,,,
2872,Hospes Puerta de Alcalá,"Pl. de la Independencia, ",3,28001 ,Madrid,ES,"Central reservations

10% commissie, mailen voor reserveringen",Guillermina,Serrano,,reservations.madrid@hospes.com,0034914363478,hotel,,,"3 course dinner, City tax, Dreamer Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2875,Mama Shelter Belgrade,Kneza Mihaila ,54A,11000,Belgrado,RS,,,,,belgrade@mamashelter.com,00381113333000,hotel,,,"3 course dinner, City tax, Large Mama with terrace, DDR 4hrs, DDR 8hrs, Executive Double Studio, Large Mama, Overnamekosten factuur  5%+BTW"
2876,The Slaak Rotterdam,Slaak,34,3061 CS,Rotterdam,NL,,,,,info@theslaakrotterdam.nl,0031103120640,hotel,,,"3 course dinner, City tax, Comfort Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2881,Best Western City Hotel Woerden,Utrechtsestraatweg,25,3445 AL,Woerden,NL,Operationeel Manager ,Joris,Strik,,j.strik@bestwesternwoerden.nl,0031348748374,hotel,,302,"3 course dinner, City tax, Comfort Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2884,Martin's Patershof,Karmelietenstraat ,4,2800,Mechelen,BE,"

	

Facturatie adres voor commissie

N.V. Martin&rsquo;s Hotels S.A.&nbsp; -&nbsp; Martin&rsquo;s Patershof
Avenue du Lac 87
B-1332 Genval
BE 0422 825 374
&nbsp;

",,,,mph@martinshotels.com,003215464646,hotel,,,"3 course dinner, Cosy Room, single use, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2886,Hotel Princenhof,Piet Miedemaweg,15,9264 TJ,Earnewâld,NL,,,,,info@princenhof.nl,0511539206,hotel,,,"3 course dinner, City tax, Classic Meerzijde Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW, 3 course dinner, City tax, Classic Meerzijde Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2890,New York Marriott Downtown,West Street at Albany Street,85,10006,New York,US,,,,,,0012123854900,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, King Room, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
2892,Grasberger Hof GmbH,Speckmannstraße,58,28879,Grasberg,DE,,Karin,Schnakenberg,,k-schnakenberg@grasberger-hof.de,0049420891720,hotel,,,"3 course dinner, City tax, Standard Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2893,Meeting Space Amsterdam,Kanaalstraat,132 H,1054 XN,Amsterdam,NL,"

	

10% commissie op netto einfd factuur (via Germaine gevonden)

",Tomasz Pieta - Creative Point Team,,,info@creativepoint.nl,0031617369985,hotel,,,
2895,"The Westin Washington, D.C. City Center",M Street NW,1400,20005,Washington ,US,,,,,,0012024291700,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, King Guestroom, excluding breakfast, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
2896,Kimpton Banneker Hotel,16th Street NW,1315,20036 ,Washington,US,,,,,talktous@thebanneker.com,0012022346399,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, King Guestroom, excluding breakfast, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
2898,Hotel & Spa La Belle Juliette,Rue du Cherche-Midi,92,75006,Paris,FR,,Kevin,,,reservation@labellejuliette.com,0033142229740,hotel,,,"3 course dinner, City tax, Superior Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2899,Des Moines Marriott Downtown,700 Grand Avenue ,700,50309 ,Des Moines Iowa,US,,,,,allicia.spoon@marriott.com,0015152455500,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, King Room, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
2904,Premier Inn London Bank (Tower),St Mary At Hill,20,EC3R 8EE,London,GB,,,,,londonbanktower.pi@whitbread.com,00443333219325,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Double room, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2905,NH Collection Amsterdam Barbizon Palace,Prins Hendrikkade,59-72,1012 AD ,,NL,,,,,nhcollectionbarbizonpalace@nh-hotels.com,31205564564,hotel,,,"3 course dinner, City tax, Superior Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2908,Légère Hotel Luxembourg,rue Gabriel Lippmann  (Parc d'activité Syrdall),11,L-5365 ,Munsbach,LU,,,,,,003524900061,hotel,,,"3 course dinner, City tax, Légère Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2914,Hilton Chicago O'Hare Airport,O'Hare International Airport,,IL 60666 ,Chicago,US,,,,,,0017736868000,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, King Room, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
2917,Elite Hotel Stockholm Plaza ,Birger Jarlsgatan,29, 111 45,"Stockholm,",,,,,,info.stoplaza@elite.se,0046856622000,hotel,,,"3 course dinner, City tax, Standard double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2918,Scandic Front Copenhagen,Sankt Anna Plads,21,DK-1250,COPENHAGEN,DK,,,,,front@scandichotels.com,004533133400,hotel,,,"3 course dinner, City tax, King Superior, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2920,Hotel Hulst,van der Maelstedeweg,4a,4561GT,Hulst,NL,,Nadine,de Bruijne,,info@hotelhulst.nl,0031114319830,hotel,,,"3 course dinner, City tax, Comfort Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2931,MMousse,Krom Boomssloot,8-Hs,1011GV,Amsterdam,NL,"10% netto eind factuur 
2 locaties! Breda & Amsterdam",Vera,Wellink,,info@mmousse.com,0202261292,hotel,,,
2932,Lore Group ,Broadway,1250,NY 10001,New York,US,,,,,valerine.vb@loregroup.com,0638717858,hotel,"682, 682",,
2934,Pullitzer Amsterdam,Prinsengracht,323,1016GZ,Amsterdam,NL,,,,,,0205235235,hotel,,,
2938,Okko Hotels Paris La Defense,boulevard de La Défense,2261,92000,Nanterre,FR,"Receptie. Geen commisise. alleen via member rate korting 10%, normale prijs bevestigen aan klant

Ontbij is € 18,- p.p.",Lindsay,,,nanterre9202@okkohotels.com,0033149676413,hotel,,,"3 course dinner, City tax, Classic Queen Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2940,Hotel Mercure Parijs Arc de Triomphe Étoile,avenue des Ternes,27,75017,Paris,FR,,,,,h0372@accor.com,0033825801919,hotel,,,"3 course dinner, City tax, Superior Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2941,The Social Hub Eindhoven ,Stationsweg,1,5611AA,Eindhoven,NL,"

	



	
		
			&nbsp;
			Commission 
			Valid until 
			TSH Locations
		
		
			Extended Stay (14+ nights)
			7.5% commission on room rate 
			31/12/2024
			Eindhoven/ Maastricht/ The Hague/ Rotterdam/ Delft/ Groningen/ Amsterdam West
		
		
			Hotel Stay (1-14 nights)
			10% commission on room rate
			31/12/2024
			Eindhoven/ Maastricht/ The Hague/ Rotterdam/ Delft/ Groningen/ Amsterdam West
		
		
			Meeting &amp; Events
			10% commission on meetingspace only
			31/12/2024
			Eindhoven/ Maastricht/ The Hague/ Rotterdam/ Delft/ Groningen/ Amsterdam West
		
	



",,,,"eindhoven@thesocialhub.com, marlou.stijnen@thesocialhub.co, corporate@thesocialhub.co","0031402319792, 31628922133",hotel,,,"3 course dinner, City tax, Standard Queen Room, excluding breakfast, DDR 4hrs, Suite King, excluding breakfast, Deluxe Studio, excluding breakfast, Meeting room rental, Overnamekosten factuur  5%+BTW"
2948,Sonder | Casa Luz,Ronda de la Univ.,1,08007,Barcelona,ES,,Alessia,,,barcelona@sonder.com,0034676909310,hotel,,,"3 course dinner, City tax, Queen Room with Balcony & street view, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2953,Courtyard Brussels EU,Rue Joseph II,32,1000,Brussels,BE,,Froint office,,,info.brumt@hotelco51.com,003228930170,hotel,,,"3 course dinner, City tax, Standard KING Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2957,Estrel Berlin,Sonnenallee,225,12057,Berlijn,DE,,,,,y.schultz@estrel.com,004930683122583,hotel,,,"3 course dinner, City tax, Standard Double Room, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2961,Hotel Indigo London - Tower Hill,Minories,142,EC3N 1LS,London,GB,,,,,reservations@hitowerhill.com,00442072651014,hotel,,,"3 course dinner, City tax, Standard Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2963,Maritim Amsterdam,Asterweg,19 D10,1031HL,Amsterdam,NL,DOS - ook voor aanvragen overige Maritim Hotels,Niels,Brugman,,nbrugman.vki@maritim.com,0031621946063,hotel,,,
2966,Holiday Inn London - Regent's Park ,Carburton Street,,W1W 5EE,London,GB,,,,,reservations@hiregentspark.co.uk,00443719429111,hotel,,,"3 course dinner, City tax, Standard Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2968,Hyatt Regency Baltimore Inner Harbor,Light Street,300,21202,Baltimore,US,,,,,baltimore.regency@hyatt.com,0014105281234,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, King Room, King Room High floor, Overnamekosten factuur  5%+BTW, Tax"
2971,Keizer Culinair,Elandsstraat,169-173,1016RZ,Amsterdam,NL,Sales & marketing Stagiair,Bart,van Golen,,info@keizerculinair.nl,0031204279276,hotel,,,
2974,Holiday Inn Nürnberg City Centre,Engelhardsgasse,12,90402,Nürnberg,DE,,,,,info@hi-nuernberg.de,0049911242500,hotel,,,"3 course dinner, City tax, Queen Bed Premium Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2976,Hyatt Place Baltimore/Inner Harbor ,South Central Avenue,511,21202,Baltimore,NL,,,,,rene.proctor@hyatt.com,0014435527290,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, King Room, single use, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
2979,Ibis Styles Lisboa Centro Marquês de Pombal,Av. Fontes Pereira de Melo,5,1069-114,Lisboa,PT,Recepcionista,Ana,Fernandes,,ha9r8@accor.com,00351213503900,hotel,,,"3 course dinner, City tax, Standard Queen Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2982,Van der Valk Hotel Liège,Esplanade de l Europe ,2B,4020,Liege,BE,,,,,reception@hotelliege.eu,0032042441200,hotel,,,"3 course dinner, City tax, Standard Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2985,Best Western Plus Hotel Plaisance,Avenue de la Libération,96,69400,Villefranche sur Saone,FR,,,,,info@hotel-plaisance.com,0033474653352,hotel,,,"3 course dinner, City tax, Ch CONFORT Q-WVM Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2986,Fletcher Wellness-Hotel Trivium,Trivium,72,4873 LP ,Etten-Leur,NL,,,,,info@fletcherhoteltrivium.nl,00310765010041,hotel,,,"3 course dinner, City tax, Comfort Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2990,Four Seasons Hotel Denver,14th Street,1111,80202,Denver,US,,,,,reservations.den@fourseasons.com,0013033893300,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, Deluxe Double Room, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
2997,Hotel Mercure Paris Gare Montparnasse TGV,rue de la Gaité,20,75014,Paris,FR,,,,,h0905-re@accor.com,0033173160241,hotel,,,"3 course dinner, City tax, Classic Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
2999,SAHARA Las Vegas,S Las Vegas Blvd,2535,89109,Las Vegas,US,"

	

WERKEN MET PAYMENT LINKS!
&nbsp;

",,,,reservations@saharalasvegas.com,0017027617000,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, Blanca King Room, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
3001,Eglizen Boektiek BB ,Kersenlaan,8,4513 AK,Hoofdplaat,NL,Eigenaar Veronique Tillemans Aegon,,,,info@eglizen.nl,0031641239739,hotel,,,"3 course dinner, City tax, Indian Summer Room, DDR 4hrs, DDR 8hrs, Winter Room, Meeting room rental, Overnamekosten factuur  5%+BTW"
3015,Hotel EAST Hong Kong,Taikoo Shing Road,29,,Taikoo Shing,HK,,,,,reservations@east-hongkong.com,85239683968,hotel,,,"3 course dinner, City tax, Urban View Queen Bed, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3018,Hilton Hotels Germany,Frankfurt,20,60528 ,Lyoner strasse,DE,"Account Executive  
Hilton Hotels Germany ",Johannes,Struppler,,johannes.struppler@hilton.com,"00491605347266, 00491605347266",hotel,,,
3029,Leonardo Royal Hotel Mannheim,Augustaanlage,4-8,68165,Mannheim,DE,Cluster Reservation Office Supervisor ,Marc,Hirmer,,groups.southwest@leonardo-hotels.com,004962213608920,hotel,,,"3 course dinner, City tax, Executive Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3033,Jos ten Berg B.V.,Utrechthaven,16,3433PN,Nieuwegein,NL,,,,,,,hotel,,,
3035,JW Marriott Mumbai Sahar,"Chhatrapati Shivaji International Airport, IA Project Rd,",, 400099 , Andheri Mumbai,IN,,,,,samar.joshi@marriotthotels.com,00912268828888,hotel,,,"3 course dinner, City tax, King Bed, City View, Guest Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3044,Hotel Restaurant WeidumerHout,Dekemawei,9,9024 BE,Weidum,NL,"

	

10% netto eindfactuur

",,,,welkom@weidumerhout.nl,003158251988,hotel,,,"3 course dinner, City tax, Standard Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
